Offset,Correlation Value,P Value
0,-0.4979417641,8.31492960420815E-009
1,0.015802553,0.8651336811
2,0.3866180778,1.66481410812658E-005
3,0.3633198151,6.1087847217145E-005
4,0.1030668536,0.27302773
5,-0.324586044,0.000426154
6,-0.454375816,4.29862243996212E-007
7,-0.0689980994,0.4697550894
8,0.3239113902,0.0005243977
9,0.3610384815,0.000106674
10,0.1074705167,0.2660029353
11,-0.3408876523,0.0003060271
12,-0.377504991,6.1120789080222E-005
13,-0.0409451058,0.6768743375
14,0.2849260183,0.0032191788
15,0.3717688176,0.0001020266
16,0.1508012596,0.1283861251
17,-0.3326370124,0.0006357623
18,-0.3911969867,5.2328885870033E-005
19,-0.0180610207,0.8584449563
20,0.3263290095,0.0009792341
21,0.3094064135,0.0019344628
22,0.1021044777,0.3196487735
23,-0.2753996593,0.0066128756
24,-0.3072669956,0.0024548448
