"","time","sentiment.ts","ncrimes","sentcat","ratecat"
"2",1396848696.86,-371,1,"m","l"
"4",1396863096.86,-27,4,"m","l"
"5",1396870296.86,-197,11,"m","h"
"6",1396877496.86,-358,11,"m","h"
"11",1396913496.86,-800,11,"l","h"
"12",1396920696.86,-626,13,"l","h"
"13",1396927896.86,-537,3,"l","l"
"14",1396935096.86,-178,4,"m","l"
"15",1396942296.86,-37,1,"m","l"
"16",1396949496.86,-94,3,"m","l"
"18",1396963896.86,-476,13,"m","h"
"20",1396978296.86,-382,11,"m","h"
"21",1396985496.86,-290,14,"m","h"
"23",1396999896.86,-386,13,"m","h"
"24",1397007096.86,-521,14,"m","h"
"26",1397021496.86,-285,3,"m","l"
"27",1397028696.86,-54,1,"m","l"
"28",1397035896.86,-60,0,"m","l"
"31",1397057496.86,0,14,"m","h"
"32",1397064696.86,0,12,"m","h"
"34",1397079096.86,0,18,"m","h"
"35",1397086296.86,0,11,"m","h"
"38",1397107896.86,0,1,"m","l"
"39",1397115096.86,0,1,"m","l"
"40",1397122296.86,0,0,"m","l"
"41",1397129496.86,0,3,"m","l"
"46",1397165496.86,-749,17,"l","h"
"48",1397179896.86,-2344,16,"l","h"
"51",1397201496.86,24,3,"h","l"
"56",1397237496.86,-239,4,"m","l"
"57",1397244696.86,-552,4,"l","l"
"60",1397266296.86,-771,11,"l","h"
"62",1397280696.86,-286,11,"m","h"
"64",1397295096.86,-15,4,"m","l"
"65",1397302296.86,-133,1,"m","l"
"67",1397316696.86,-256,2,"m","l"
"70",1397338296.86,42,4,"h","l"
"71",1397345496.86,-295,4,"m","l"
"73",1397359896.86,0,0,"m","l"
